"NP-Nom только и делать, что Cl","он только и делает, что болтает",Activity Exclusivity,,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Nom NP-Dat не NP-Nom,я вам не сын,Characteristics Categorisation,,,,,Clause,Clause,,,,,,,,,,,,,,,,Negation
NP-Plur и всё такое,разные идеалы и всё такое,"Characteristics Similarity Sameness Констуркция используется для того, чтобы обозначить примерный набор объектов, который значительно не отличается от уже [упомянутого прототипа]Standard. CORRECT TYPO IN DESCRIPTION",,,,,Clause,Clause,,,,,,,,,,,,,,,,
Num-Ins Num-Nom ― Num-Nom,шестью пять ― тридцать,Characteristics Categorisation Sameness? Конструкция используется для выражения математическое операции умножения [одного числа]Factor на [другое]Number с указанием [результата]Result (произведения).,,,,,Clause,Clause,,,,,,,,,,,,,,,,
Num-Nom на Num-Acc ― Num-Nom,семь на восемь ― пятьдесят шесть,Characteristics Categorisation Sameness? Конструкция используется для выражения математическое операции умножения [одного числа]Factor на [другое]Number с указанием [результата]Result (произведения). SEE TYPO IN DESCRIPTION,,,,,Clause,Clause,,,,,,,,,,,,,,,,
PRON-Nom ещё VP-Fut,ты меня ещё вспомнишь,I agree,Activity,Threat,,,Clause,Clause,,,,,,,,,,,,,,,,
Pron-Nom у меня VP-Fut.Perf,ты у меня попляшешь,I agree,Activity,Threat,,,Clause,Clause,,,,,,,,,,,,,,,,
VP ― и будь здоров,Миша забрал книгу ― и будь здоров,Activity Unexpected outcome,,,,,Clause,Clause,,,,,,,,,,,,,,,,
VP себе (и) VP,я стою себе думаю,Activity Continuation,,,,,Clause,Clause,,,,,,,,,,,,,,,,
VP что ни попадя,Ваня ел что ни попадя,Characteristics Assessment Negative Конструкция используется для негативной оценки действий [участника]Participant.,,,,,Clause,Clause,,,,,,,,,,,,,,,,
VP-Imp одно и то же,писал он всегда одно и то же,"Characteristics Categorisation Sameness Конструкция означает, что [участник]Participant много раз повторяет [одинаковое действие]Action",,,,,Clause,Clause,,,,,,,,,,,,,,,,
VP-Imper – не хочу,"здесь столько вина, пей – не хочу",Characteristics Measure Intensity,,,,,Clause,Clause,,,,,,,,,,,,,,,,
VP-Imper ещё (мне/(у) меня),Разговаривай ещё,Add Prohibition?,Activity,Threat,,,Clause,Clause,,,,,,,,,,,,,,,,
VP-Inf ― не для NP-Gen,курить ― не для Ивана,Characteristics Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,
XP ни-ни,пить ни-ни,"Activity Prohibition Конструкция обозначает, что участник считает [что-либо]Theme или [какое-либо действие.]Theme недопустимым, выражает категорический отказ делать что-либо или говорящий запрещает [что-либо]Theme или [какое-либо действие.]Theme EXAMPLE [ [Маме]Theme [ни-ни]ни-ни]XP_ни-ни о вчерашнем вечере.",,,,,Clause,Clause,,,,,,,,,,,,,,,,
XP так XP,суп так суп,?Activity Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,Reduplication
