ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern,,,Тэги из гуглдока,Структурные особенности,Negation,Reduplication,Inversion
84,все NUM NP-Gen (VP),"он купил детям все десять книг, которые они просили",,Characteristics,Quantification,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
171,кто-то вроде NP-Gen,"Я не хочу, чтобы кто-то вроде тебя распространял ложь моим друзьям",см. 380,Characteristics,Similarity,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
,что-то вроде NP-Gen,,,Characteristics,Similarity,,,,Nominal pattern,,,,,,,,,,,,,,,,,,,,
537,NP-Nom не из AP-Gen,удовольствие не из дешёвых,,Characteristics,Subset,,Assessment,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,Negation,Negation,,
520,NP-Nom из Adj-Gen,человек из любопытных,Similar to 441.,Characteristics,Subset,,Categorisation,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
441,"NP, в том числе (и) NP","живые существа, в том числе (и) растения, пьют воду",,Characteristics,Subset,,Inclusivity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
,"NP, среди которых NP",,,Characteristics,Subset,,Inclusivity,,,,,,,,,,,,,,,,,,,,,,
446,NP за NP-Acc,журнал за ноябрь,Сравнить 445 и 446. Формулы одинаковые. Нужно ли развести?,Characteristics,Time,,Categorisation,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
257,от имени NP-Gen,от имени министерства поздравляю вас с юбилеем,,Subject,Subject switch,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
,от лица NP-Gen,,,Subject,Subject switch,,,,Nominal pattern,,,,,,,,,,,,,,,,,,,,
,от весь-Prep NP-Prep,,,Subject,Subject switch,,,,Nominal pattern,,,,,,,,,,,,,,,,,,,,
,под предлогом NP-Gen,,,Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,
,под флагом NP-Gen,,,Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,
