,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
464,NP-Acc за NP-Ins,он курит сигарету за сигаретой,,Activity,Distribution,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
465,NP-Acc звать NP-Ins/Nom,мальчика звать Юрой,,Characteristics,Naming,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
466,NP-Acc не проведешь,почтальона не проведешь,,Characteristics,Assessment,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
467,NP-Acc отдать в/на NP-Acc,отдать детей в школу,"Два последних примера в описании конструкции кажутся мне очень странными, нетипичными, неправильными. Возможно, это языковая игра с этим оборотом. Думаю, что такие примеры приводить не нужно для изучающих русский как неродной. Можно отдать в ясли, садик, в школу, на танцы. Нельзя отдать в университет или в армию. Так сказать нельзя.",Activity,Causation,,Location,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
468,NP-Acc привлекать в NP-Loc NP-Nom,женщин привлекают в богачах их деньги,,Characteristics,Attitude,Positive,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
469,NP-Acc прочить NP-Ins|в NP-Acc,его прочили в директора,,Activity,Prediction,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
470,NP-Acc убить мало,за такое поведение его убить мало,,Characteristics,Assessment,Negative,Intensity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
471,NP-Dat (не) VP-ся,мне не спится,,Activity,Antiresultative,,,,Clause / Verb pattern,Clause,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
472,NP-Dat всё равно,мне всё равно,,Characteristics,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
473,NP-Dat далеко до NP-Gen,тебе далеко до лучшего работника,Нужно сравнить с кострукцией далеко до NP-Gen и сильнее их развести.,Characteristics,Assessment,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
474,NP-Dat дать Num-Nom лет,Паше дают двадцать лет на вид,"надо развести две конструкции дать СОВ ВИД про срок в тюрьме, а давать НЕСОВ ВИД про возраст человека. Нужно переделать название конструкции!!",Characteristics,Measure,Age,Approximation,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
475,NP-Dat идти XP,Ей идёт эта причёска,,Characteristics,Assessment,Positive,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
476,NP-Dat ли не VP-Inf,тебе ли не радоваться!,"Similar to 477 Конструкция выражает уверенность говорящего в том, что [некоторый участник]Experiencer уже знает о [сложившейся ситуации]Situation или [испытывает по этому поводу определенные чувства]Activity. NOT VERY PRESICE DESCRIPTION",Activity,Attitude,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
477,NP-Dat ли VP-Inf,мне ли спорить,"Конструкция выражает невозможность выполнения [действия]Action [участником]Experiencer. Говорящий уже знает о сложившейся ситуации и считает, что [участник]Experiencer не должен выполнять [это действие]Action. Еть причина, по которой участник не способен выполнить действие. CORRECT TYPOS IN DESCRIPTION",Activity,Antiresultative,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
478,NP-Dat лишь бы VP-Inf,вам лишь бы деньги тратить,"Конструкция используется для отрицательной оценки [намерений]Action [некоторого участника на дательном падеже]Agent. Этот участник, по мнению говорящего, необоснованно предпочитает только [один тип занятий]Action и никаких других.",Characteristics,Assessment,Negative,Exclusivity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
479,NP-Dat не до NP-Gen,мне не до уборки,,Characteristics,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
480,NP-Dat не пристать VP-Inf,тебе не пристало ходить по дискотекам,,Activity,Prohibition,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,Negation,Negation,,
481,NP-Dat нельзя/можно VP-Inf,тебе нельзя есть холодное мороженое,,Activity,Prohibition,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
482,NP-Dat нет дела до NP-Gen,мне нет дела до твоих денег,,Characteristics,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
483,"NP-Dat ничего не оставаться (делать), (кроме) как VP-Inf","ему ничего не остаётся, как уехать из страны",,Activity,Exclusivity,,,,Matrix,,,Matrix,,,,,,,,,,,,,,Negation,Negation,,
484,NP-Dat пора VP-Inf,мне пора идти в школу,,Activity,Time,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
485,NP-Dat стоить VP-Inf,повару стоит научиться готовить,Improve illustration and examples! Конструкция используется для выражения пожелания [некоторому участнику]Participant.,Activity,Causation,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
486,NP-Dat стыдно за NP-Acc,Мне стыдно за твое поведение,,Characteristics,Assessment,Negative,Attitude,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
487,NP-Dat только бы VP-Inf,мне только бы увидеть ее,,Activity,Exclusivity,,,,Part,,,,,,,,,,Part,,,,,,,,,,
488,NP-Dat удалось VP-Inf,Мише удалось покурить,"получилось, вышло с тем же управлением We already used the tag result for доделать работу до конца",Activity,Result,,Success,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
489,NP-Dat хватать NP-Gen,нам хватает сахара,Конструкция используется для выражения (не)достаточного количества некоторого [объекта]Stimulus для какого-либо [субъекта]Experiencer или [объекта]Experiencer.,Characteristics,Measure,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
490,NP-Dat NP-Acc не сломить,армии меня не сломить,"Конструкция обозначает, что [что-либо или кто-либо]Agent (не) способен лишить [кого-либо]Patient силы энергии или ослабить его физически/морально.",Characteristics / Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
491,NP-Dat NP-Nom не (в) Noun,девочкам радость не в радость,,Characteristics,Attitude,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Reduplication and Negation ,Negation,Reduplication,
492,NP-Dat VP-Inf быть в лом,Маше вставать с кровати было в лом,,Characteristics,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
493,NP-Gen бы,чаю бы,Merge with 497,Activity,Causation,Indirect,Wish,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
494,NP-Gen!,Спокойной ночи!,Is Routine the right term in English?,Discourse,Routine,,Kind wishes,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
495,NP-Gen.Plur выше крыши,проблем выше крыши,,Characteristics,Measure,,Intensity,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
496,NP-Gen.Plur Num,на лекцию пришли человек двадцать,,Characteristics,Approximation,,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
497,NP-Gen2 Adv бы,Кофейку неплохо бы,Merge with 493,Activity,Causation,Indirect,Wish,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
498,NP-Ins NP-Nom в NP-Acc,лицом она в мать,,Characteristics,Comparison,Sameness,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
499,NP-Nom (быть) как NP-Nom,мальчик был как ангел,,Characteristics,Comparison,,,,Conj,,,,,,,,Conj,,,,,,,,,,,,
500,NP-Nom (быть) так себе,картина так себе,,Characteristics,Assessment,Negative,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
501,NP-Nom (опять/всё) за своё,Витя опять за своё,"We can add: за старое. Конструкция означает, что [участник]Participant раньше делал нечто, что отрицательно оценивалось говорящим и окружающими. Зная об этом, он прекратил действие, но в описываемый момент он повторяет действие -- и это вызывает негативную оценку говорящего.",Activity,Assessment,Negative,Inceptive,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
502,NP-Nom (это) ещё ничего,Это ещё ничего,,Characteristics,Assessment,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
503,NP-Nom (NP-Dat) ни к чему,ещё одно платье мне ни к чему,,Characteristics,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
504,NP-Nom без устали VP-Imp,жена без устали готовила на кухне,,Activity,Manner,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
505,NP-Nom будто бы VP,Маша будто бы ездила в другую страну,,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
506,NP-Nom в-VP-ся в NP-Acc,Он хорошо вживается в образ,"Improve illustration! См. всмотреться, вчитаться, вслушаться (ментальные предикаты)",Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
507,NP-Nom вести в NP-Acc,дверь вела в комнату,"Конструция обозначает, что [что-либо]Theme имеет то или иное [направление]Location, служит путём [куда-нибудь]Location.",Characteristics,Location,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
508,NP-Nom вести NP-Acc,учительница вела урок,"Конструкция обозначает, что [кто-либо]Agent занимается какой-либо [деятельностью]Theme, выполняет какие-либо [обязанности]Theme. Example: [ведет]вести [собрание]Theme]; [ [Врач]Agent [вел]вести [больного]Theme]NP-Nom_вести_NP-Acc после операции.",Characteristics / Activity,Temporary state,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
509,NP-Nom всё V-Imp,Вася всё писал,Also Continuation? 86 -- всё VP-Imp. Это одна конструкция же?,Activity,Time,,Continuation,,Adv,,,,,,,Adv,,,,,,,,,,,,,
510,NP-Nom готов VP-Inf,он готов сделать домашнее задание,,Characteristics,Temporary state,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
511,NP-Nom давай VP-Inf,он давай петь,"Конструкция обозначает, что [участник]Agent начинает [какое-либо действие]Action. Конструкция может иметь некоторую неодобрительную коннотацию. Предложение обычно начинается с восклицания А EXAMPLE [Ребенок]Agent увидел маму и [ [давай]давай [смеяться]Action]NP-Nom_давай_VP-Inf",Activity,Inceptive,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
512,NP-Nom до-VP-ся (до NP-Gen),Евгения Борисовна без всякой причины дохохоталась до слёз.,,Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
513,NP-Nom закатиться|залиться NP-Dat,Она закатилась слезами,,Activity,Intensity,,Manner,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
514,NP-Nom занимать Num-Acc NP-Acc,у меня это заняло десять минут,,Characteristics,Measure,Time,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
515,NP-Nom знать толк в NP-Loc,он знает толк в настольных играх,"similar to он мастер готовить, добавить ""разбираться в NP-Loc""",Characteristics,Assessment,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
516,NP-Nom и так V-Past,мы и так задержались,"Конструкция используется для того, чтобы показать, что пришло время для [участников]Participantсменить [действие]Action, потому что оно длилось уже достаточно долго.",Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,,,,,,,,
517,NP-Nom и VP,я и хотел сказать,"Конструкция используется для того, чтобы показать временное совпадение, своевременность [действия.]Action Тропа нас вывела на дорогу, по которой [ [мы]Agent [и]и [въехали]Action]NP-Nom_и_VP в город.",Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,,,,,,,,
518,NP-Nom идти за NP-Ins,Она пошла за врачом,,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
519,NP-Nom идти по NP-Acc,Родители пошли по грибы,,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
520,NP-Nom из Adj-Gen,человек из любопытных,Similar to 441.,Characteristics,Subset,,Categorisation,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
521,NP-Nom из-под NP-Gen,коробка из-под торта,,Characteristics,Categorisation,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
522,NP-Nom иметь вес при/в NP-Loc,Он имел большой вес в обществе.,"Light verb -> not about activity, it is Characteristics",Characteristics,Categorisation,,,,Light verb + Nominal pattern,,,,,,,,,,,,Light verb,Nominal pattern,,,,,,,
523,NP-Nom как таковой,обучение как таковое,,Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,,,,,,,,
524,NP-Nom как Noun-Nom,хлеб как хлеб,,Characteristics,Assessment,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
525,NP-Nom как VP-Fut.Perf!,Вся волчья стая как набросится на меня!,"Конструкция используется для обозначения начала [некоторого действия]Action . [Участник]Agent неожиданно для окружающих приступает к характерному исполнению [действия]Action , переход к которому в данном контексте наиболее важен. ",Activity,Inceptive,,Unexpected outcome,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
256,NP-Nom какой,"посмотрите, ужас какой",But why Part? Could be tagged: Adj,Characteristics,Intensity,High,Assessment,,Part,,,,,,Adj,,,,Part,,,,,,,,,,
527,NP-Nom на носу,зима на носу,,Characteristics,Time,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
528,"NP-Nom на то и NP-Nom, чтобы VP-Inf","муж на то и муж, чтобы работать",,Characteristics,Categorisation,,,,Matrix,,,Matrix,,,,,,,,,,,,,,Reduplication,,Reduplication,
529,NP-Nom на-VP NP-Gen.Plur,Он навёз домой много вещей,,Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
530,NP-Nom на-VP-ся (NP-Ins),земля напиталась водой,"na-...-sja is the key element and denotes Intensity (compare ele xodit, see your tag for 529!) or ACCUMULATE. Конструкция обозначает, что [субъект или объект]Experiencer в результате каких-либо [действий]Action приходит в [состояние чрезмерного]Theme. Конструкция используется при глаголах наполнения, полного охвата чего-либо. надышался наговорился GOOD EXAMPLE OF A MORPHOLOGICALLY COMPLEX VERB AS A CONSTRUCTION!",Activity,Result,,Intensity,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
531,NP-Nom над-VP-ся над NP-Ins,Они надругались над законами экономики,надсмехаться в конструктиконе - устаревшее или просторечное,Activity,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
532,NP-Nom называется,Молока не дает. Корова называется!,"Конструкция] используется для выражения разочарования: [субъект]Theme под каким-либо особенным названием не способен выполнить действие, которое входит в его функционал, согласно общепринятым ожиданиям. Ты меня так подвела! А еще [ [подруга]Theme [называется]называется ]NP-Nom_называется!",Characteristics,Assessment,Negative,Categorisation,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
533,NP-Nom начинать NP-Ins,Он начинал учителем,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
534,NP-Nom не в силах VP-Inf,он не в силах помочь тебе в этой ситуации,,Characteristics,Temporary state,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
535,NP-Nom не выносить NP-Acc,Она не выносит нецензурную речь,,Characteristics,Attitude,Negative,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,Negation,Negation,,
536,NP-Nom не играть (никакой) роль,Это обстоятельство не сыграло в его судьбе никакой роли,"Зачем включено отрицание? Бывает ""играть роль"". Конструкция обозначает, что [что-то]Theme является неважным, несущественным.",Characteristics,Assessment,,,,Verb pattern,,,,,,,,,,,Verb pattern,Light verb,,,,,Negation,Negation,,
537,NP-Nom не из AP-Gen,удовольствие не из дешёвых,,Characteristics,Subset,,Assessment,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,Negation,Negation,,
538,NP-Nom не иметь значения,деньги уже не имеют значения,,Characteristics,Attitude,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
539,NP-Nom не преминул VP-Inf,Он не преминул сделать замечания,"Конструкция, которая выражает ситуация невозможности [некоторым объектом]Agent упущуения [сделать что-либо]Action, пройти [мимо чего-либо]Action. TWO TYPOS IN DESCRIPTION",Activity,Result,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
540,NP-Nom ни в какую не VP,студент ни в какую не соглашается с преподавателем,,Activity,Intensity,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
541,NP-Nom ни при чём,Мы тут были ни при чём,,Characteristics,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
542,NP-Nom обернуться NP-Ins,Дело обернулось бедой,,Activity,Result,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
543,NP-Nom от NP-Gen,ключ от двери,,Characteristics,Categorisation,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
544,NP-Nom отличаться NP-Ins,Он отличается большой выносливостью,,Characteristics,Categorisation,,Exclusivity,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
545,NP-Nom относиться к числу NP-Gen,он относится к числу скептиков,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
546,NP-Nom отправиться за NP-Ins,Он отправился на колодец за водой,,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
547,NP-Nom пере-VP-ся NP-Ins,Они перекидываются шутками,"бывает ""перешептываться"", ""перестукиваться"", ""переглядываться"" (но без NP-Ins)",Activity,Manner,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
548,NP-Nom пребывать в NP-Loc,Он все это время пребывал в неведении,,Characteristics,Temporary state,,,,Verb pattern,,,,,,,,,,,Verb pattern,Light verb,,,,,,,,
549,NP-Nom пребывать на/в NP-Loc/у NP-Gen,Охранник пребывает на посту,"Australian doc: sostojanie. Конструкция, обозначающая, что[некоторый субъект]Agent находится [в каком-то положении или месте]Location.",Activity,Location,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
550,NP-Nom прийтись-Past (NP-Dat) XP,сапоги пришлись ему впору,,Characteristics,Measure,Size,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
551,NP-Nom приходиться NP-Dat NP-Ins,этот мальчик приходится мне сыном,,Characteristics,Categorisation,,,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
552,NP-Nom пройти/перешагнуть через NP-Acc,Дети прошли через всяческие испытания,"Конструкция, обозначает, что [субъект]Experiencer преодолевает какое-то [несчастье]Theme или неприятное [событие жизни]Theme.",Characteristics / Activity,Categorisation,,Result,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
553,NP-Nom прямо VP/NP-Nom,я прямо так и подумала,"MISLEADING ILLUSTRATION (tak i is not in the scheme) Characteristics Sameness BUT IN FACT RATHER: Characteristics Intensification Конструкция употребляется для усиления значимости сказанного [говорящим]Agent, подтверждение его слов. [ [Это]Theme - [прямо]прямо [наказание]Theme ]NP-Nom_прямо_VP/NP-Nom какое-то!; [ [Я]Agent [прямо]прямо [удивился]Action ]NP-Nom_прямо_VP/NP-Nom такой его реакции на мои безобидные слова.",Characteristics / Activity,Intensity,High,,,Part,,,,,,,,,,Part,,,,,,,,,,
554,NP-Nom самый что ни на есть NP-Nom,Ты самый что ни на есть умный человек!,,Characteristics,Assessment,,Intensity,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
555,NP-Nom сделаться NP/Adj-Ins,Он сделался важным начальником,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
556,NP-Nom слыть NP-Ins,Она слыла отличницей,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
557,"NP-Nom создан, чтобы Cl","автомобиль создан, чтобы на нем ездить",,Characteristics,Categorisation,,Purpose,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
558,NP-Nom созданный-Short для NP-Gen,автомобиль создан для спортивных соревнований.,"ср. создан, чтобы (уже есть в констр)",Characteristics,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
559,NP-Nom сходить за NP-Ins NP-Dat,она сходила за книгой брату,similar 518 NP-Nom идти за NP-Ins,Activity,Purpose,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
560,NP-Nom так и VP,дождь так и хлещет,"Нужно разделить на 2 конструкции. См. описание. Разница в виде глагола. Конструкция обозначает, что [какое-либо мгновенное событие]Event происходит неожиданно или [процесс]Theme, который происходит с большой интенсивностью - TWO DIFFERENT CONSTRUCTIONS PROBABLY HERE, может быть разница в виде глагола ",Activity,Intensity,High,Continuation,,Part,,,,,,,,,,Part,,,,,,,,,,
561,NP-Nom таки VP,Он таки добился успеха.,"Соединить с 662, это та же конструкция (еще похоже на 624)",Activity,Unexpected outcome,,,,Part,,,,,,,,,,Part,,,,,,,,,,
562,NP-Nom терпеть не мочь NP-Acc/VP-Inf.Imp,Я терпеть не могу соревноваться!,"Конструкция обозначает, что [говорящий или участник ситуации]Experiencer очень не любит/не переносит [что-либо или кого-либо.]Theme",Characteristics,Attitude,Negative,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Negation,Negation,,
563,NP-Nom того стоить,Плавание того стоит,Опечаток нет,Characteristics,Assessment,Positive,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
564,"NP-Nom только и делать, что Cl","он только и делает, что болтает",,Characteristics,Exclusivity,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
565,NP-Nom умудриться VP-Inf,Он умудрился упасть,"Конструкция выражает, что[ некоторый субъект]Experiencer, сумел [сделать что-нибудь трудное]Action или [получить что-либо труднодоступное]Action . Стилистически выражает иронию",Activity,Result,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
566,NP-Nom числиться на/в NP-Loc,Он числился на службе,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family. Конструкция, обозначающая, что некоторый субъект находится [в определённом списке или категории]Location. [ [Я]Agent [числился]числиться [в]в [штате театра]Location ]N",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
567,NP-Nom числиться Adj-Ins/NP-Ins,он числился отстающим в классе,"Compare 533, 545, 555, 556, 566, 567. They are similar and form a family",Characteristics,Categorisation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
568,"NP-Nom что, VP?","он что, выпивает?",,Discourse,Focus,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
569,NP-Nom чуть было не VP-Past,он чуть было не забыл про экзамен,,Activity,Antiresultative,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
570,NP-Nom чуть не VP,мальчик чуть не упал,,Activity,Antiresultative,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
571,"NP-Nom Adv-Cmp, чем NP-Nom","Она старше, чем ты",,Characteristics,Comparison,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
572,NP-Nom AP-Nom до NP-Gen,родители религиозные до фанатизма,,Characteristics,Intensity,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
573,NP-Nom NP-Dat к лицу,черный костюмчик был ей к лицу,,Characteristics,Assessment,Positive,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
574,NP-Nom NP-Dat не NP-Nom,я вам не сын,,Characteristics,Categorisation,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
575,NP-Nom NP-Dat показать-VP-Fut!,я тебе покажу!,"Нет в списке, но еще существует Pro_Pro-Dat_устрою ""Я тебе устрою"", еще есть в нашем списке ""Я тебе поору!"" ",Activity,Threat,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
576,NP-Nom NP-Dat рознь,ученик ученику рознь,,Characteristics,Comparison,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
577,NP-Nom NP-Nom VP-Inf,он мастер готовить,"молодец, охотник, любитель, мастер",Characteristics,Assessment,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
578,NP-Nom Pron-Nom или кто?,мужчина ты или кто?,,Characteristics,Categorisation,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
579,NP-Nom V VP,он идет шатается,"Конструкция обозначает, что [некоторый участник]Agent во время [какого-либо действия]Action делает другое действие, которое служит модификатором/усилением для первого действия или его уточнением. Второй день [ [я]Agent [хожу]Action [хромаю]Intensifier]NP-Nom_VP_VP,  [стоит]Action [слушает.]Intensifier]NP-Nom_VP_VP МНЕ КАЖЕТСЯ ПЕРВЫЙ ГЛАВНЫЙ ГЛАГОЛ ЭТО ОБЫЧНО ГЛАГОЛ ДВИЖЕНИЯ< НО ЕСТЬ ИСКЛЮЧЕНИЯ. ЭТО МОЖНО БЫЛО БЫ ПРОВЕРИТЬ И ДОБАВИТЬ В ОПИСАНИЕ КОНСТРУКЦИИ",Activity,Manner,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
580,NP-Nom VP,ребенок вдруг хлоп об землю!,"Name of construction should be corrected and reflect the special truncated form of verb. Конструкция обозначает, что [субъект]Agent совершает [какое-либо быстрое движение или действие.]Action [ [Кошка]Agent ему [прыг]Action]NP-Nom_VP-Inf на шею",Activity,Unexpected outcome,,Manner,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
581,NP-Nom VP в то время как Cl,она пришла в то время как он уходил,,Activity,Time,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
582,NP-Nom VP за NP-Ins,он молчал за обедом,,Activity,Time,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
583,NP-Nom VP изо всех сил,Ваня бежал изо всех сил,,Activity,Manner,,Intensity,,Adv,,,,,,,Adv,,,,,,,,,,,,,
584,NP-Nom VP как NP-Nom,Я мог к нему прийти как ученик,,Characteristics,Categorisation,,,,Conj,,,,,,,,Conj,,,,,,,,,,,,
585,NP-Nom VP перед NP-Ins,Он умел говорить перед большой публикой,,Activity,Location,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
586,NP-Nom VP по NP-Dat,я дал всем по яблоку,,Activity,Distribution,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
587,NP-Nom VP по NP-Dat,Они любили часто ездить по знакомым,,Activity,Distribution,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
588,NP-Nom VP под шумок,Маша ушла под шумок,,Activity,Manner,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
589,"NP-Nom VP точно так же, как (и) NP-Nom","мама готовит пирог точно так же, как и бабушка",Найти и добавить еще Точно такой же...,Characteristics,Comparison,Sameness,,,Conj,,,,,,,,Conj,,,,,,,,,,,,
